L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.009684 nats  (excellent)
  Plug-in duration   : 0.018375 nats  (excellent)
  Idle gap           : 0.016540 nats  (excellent)
  Energy             : 0.015591 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0183   0.0126
  01   0.0062   0.0069
  02   0.0033   0.0069
  03   0.0026   0.0029
  04   0.0049   0.0034
  05   0.0229   0.0181
  06   0.0281   0.0296
  07   0.0183   0.0135
  08   0.0203   0.0204
  09   0.0252   0.0195
  10   0.0379   0.0377
  11   0.0291   0.0224
  12   0.0288   0.0236
  13   0.0291   0.0273
  14   0.0412   0.0420
  15   0.0507   0.0549
  16   0.0709   0.0721
  17   0.1883   0.1911
  18   0.1455   0.1728
  19   0.0716   0.0707
  20   0.0490   0.0463
  21   0.0360   0.0299
  22   0.0229   0.0267
  23   0.0490   0.0486
