L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.038946 nats  (excellent)
  Plug-in duration   : 0.024266 nats  (excellent)
  Idle gap           : 0.069125 nats  (acceptable)
  Energy             : 0.019733 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0051   0.0048
  01   0.0065   0.0039
  02   0.0037   0.0062
  03   0.0028   0.0045
  04   0.0014   0.0036
  05   0.0222   0.0028
  06   0.0032   0.0050
  07   0.0394   0.0305
  08   0.0708   0.0684
  09   0.1000   0.0863
  10   0.0250   0.0233
  11   0.0194   0.0213
  12   0.0222   0.0182
  13   0.0315   0.0283
  14   0.0356   0.0448
  15   0.0634   0.0709
  16   0.1630   0.1591
  17   0.1593   0.1468
  18   0.0713   0.0829
  19   0.0495   0.0597
  20   0.0463   0.0535
  21   0.0250   0.0336
  22   0.0139   0.0157
  23   0.0194   0.0258
