L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.010994 nats  (excellent)
  Plug-in duration   : 0.022242 nats  (excellent)
  Idle gap           : 0.054516 nats  (acceptable)
  Energy             : 0.005904 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0158   0.0115
  01   0.0097   0.0098
  02   0.0035   0.0074
  03   0.0029   0.0081
  04   0.0087   0.0113
  05   0.0048   0.0074
  06   0.0106   0.0096
  07   0.0181   0.0149
  08   0.0232   0.0254
  09   0.0258   0.0326
  10   0.0206   0.0268
  11   0.0271   0.0244
  12   0.0287   0.0292
  13   0.0339   0.0381
  14   0.0506   0.0616
  15   0.0826   0.0874
  16   0.1348   0.1215
  17   0.1135   0.1131
  18   0.0961   0.0889
  19   0.0755   0.0769
  20   0.0697   0.0632
  21   0.0565   0.0553
  22   0.0426   0.0393
  23   0.0445   0.0362
