Dataset,Method,SDarr_h,SDdur_h,LoadKL
Norway,Real,2.0271646291446426,5.657285139059622,0.0
Norway,SPARC,2.1537779865075515,5.391905761389756,0.02456580668953108
Norway,Copula,0.3289088592296166,0.893688058821651,0.027515701262733297
Norway,GMMNet,0.34818071436544673,0.9799802103013474,0.0013806926362667556
Norway,EV-SDG,0.8967503012044378,0.07462602648221876,0.08299247121271443
GIST-Res,Real,3.607918454578052,1.9028366302204076,0.0
GIST-Res,SPARC,3.4209185478122497,1.8459445861472408,0.005947887440476951
GIST-Res,Copula,0.4510945585528707,0.24845732315649488,0.0078042198934594395
GIST-Res,GMMNet,0.4919114958376652,0.2714683719423168,0.005126345637206908
GIST-Res,EV-SDG,3.221747750305529,0.29856204410768084,0.16417034766561062
GIST-Comm,Real,3.993886961884932,2.16179915789218,0.0
GIST-Comm,SPARC,4.150199811364174,2.142839391305288,0.007689473183910535
GIST-Comm,Copula,0.6677593150854974,0.3288892149679985,0.020058280181827103
GIST-Comm,GMMNet,1.0908726113459104,0.3318792486152779,0.05765742242793055
GIST-Comm,EV-SDG,0.6149744122393552,0.27227412982077054,0.41451013692014627
ACN,Real,1.7331020145022558,1.6188725715531944,0.0
ACN,SPARC,2.2543458210581115,1.6844741532209546,0.01641770748825252
ACN,Copula,0.6692736574244759,0.3550855650397998,0.03991563274253515
ACN,GMMNet,0.4006403436822528,0.37693982643685964,0.04441063761400399
ACN,EV-SDG,1.3169457741874353,0.32077092926710166,0.26870988105311305
Combined,Real,2.8272327345644963,6.679396613106025,0.0
Combined,SPARC,2.844381357037685,6.495983216687683,0.01856971730346057
Combined,Copula,0.4349615991405764,1.0703148639917364,0.013993254850130782
Combined,GMMNet,0.46783016479714795,1.054474110188047,0.0014956661227535843
Combined,EV-SDG,1.4258555040148393,0.062300182645544426,0.051262983527853405
