user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
BAR_Plass153,Weekday,8,24,2,0.2266,0.1708,true,-0.1207,0.1144,false,
TRO_R_AsO2-1,Weekday,9,84,2,0.1448,0.0607,true,0.0535,0.1004,false,
TRO_R_AsO2-1,Weekday,10,51,2,0.167,0.118,true,0.2908,0.0159,false,
TRO_R_AsO2-1,Weekday,11,16,2,0.2886,0.1397,true,0.1369,-0.1206,false,
TRO_R_AdO1-1,Weekday,4,23,2,0.1082,0.9512,true,-0.0982,-0.1462,false,
TRO_R_AdO1-1,Weekday,11,32,2,0.1182,0.7643,true,0.0727,0.0931,false,
OSL_S_KT143,Weekend,10,70,2,0.1078,0.3947,true,0.0497,0.1136,false,
OSL_S_KT143,Weekend,11,53,2,0.1357,0.2861,true,0.3086,0.1281,true,
ASK_Plass29,Weekend,8,16,2,0.3438,0.0458,false,0.4029,0.7147,true,
ASK_Plass29,Weekend,10,22,2,0.2096,0.2895,true,-0.2598,-0.3145,true,
ASK_Plass29,Weekend,11,19,2,0.1535,0.7631,true,0.0098,-0.0562,false,
TRO_Plass52,Weekday,10,18,2,0.1553,0.7794,true,-0.0917,-0.1455,false,
TRO_Plass52,Weekday,11,34,2,0.0849,0.9674,true,-0.0051,0.0634,false,
BAR_Plass157,Weekend,9,17,2,0.2829,0.1321,true,0.5459,0.0392,true,
BAR_Plass157,Weekend,10,17,2,0.1928,0.5538,true,0.0126,-0.0196,false,
OSL_S_KT17,Weekday,11,16,2,0.1828,0.6598,true,0.3577,0.3794,true,
OSL_S_KT17,Weekday,12,48,2,0.1015,0.7091,true,-0.0524,0.2144,false,
TRO_R_Bl2-2,Weekday,1,17,2,0.169,0.7178,true,0.0054,-0.0564,false,
TRO_R_Bl2-2,Weekday,8,37,2,0.1717,0.227,true,0.2003,0.6408,true,
TRO_R_Bl2-2,Weekday,9,20,2,0.127,0.9043,true,0.3865,0.4617,true,
TRO_R_Bl2-2,Weekday,10,26,2,0.1862,0.33,true,0.117,0.3436,true,
TRO_R_Bl2-2,Weekday,11,35,2,0.1377,0.5227,true,0.2711,0.3454,true,
TRO_R_Bl2-2,Weekday,12,36,2,0.1313,0.5667,true,-0.0218,0.079,false,
BAR_Plass157,Weekday,8,32,2,0.1754,0.2805,true,0.1165,0.2561,false,
BAR_Plass157,Weekday,9,78,2,0.1205,0.2114,true,-0.0276,0.0788,false,
BAR_Plass157,Weekday,10,36,2,0.1482,0.4098,true,0.0355,-0.0215,false,
BAR_Plass157,Weekday,11,19,2,0.2793,0.1038,true,0.101,0.2799,false,
ASK_Plass25,Weekend,9,17,2,0.233,0.3156,true,0.2753,0.1103,false,
ASK_Plass25,Weekend,10,23,2,0.1108,0.941,true,0.0313,-0.0909,false,
OSL_T_74,Weekday,4,16,2,0.161,0.802,true,-0.2714,-0.3118,true,
OSL_T_74,Weekday,7,18,2,0.1553,0.7791,true,0.6454,0.5335,true,
OSL_T_74,Weekday,8,29,2,0.1728,0.3536,true,-0.0856,0.2015,false,
OSL_T_74,Weekday,9,30,2,0.1774,0.3035,true,0.299,0.4844,true,
OSL_T_74,Weekday,10,18,2,0.232,0.288,true,0.5141,0.5844,true,
OSL_T_74,Weekday,11,26,2,0.1713,0.432,true,0.1453,-0.0017,false,
OSL_T_32,Weekday,7,20,2,0.1687,0.6209,true,0.1868,0.0481,false,
OSL_T_32,Weekday,8,31,2,0.1287,0.6849,true,0.0258,0.0585,false,
OSL_T_32,Weekday,11,20,2,0.1799,0.5381,true,-0.1635,-0.1596,false,
OSL_S_KT95,Weekday,11,23,2,0.157,0.6233,true,0.0187,0.0148,false,
OSL_S_KT95,Weekday,12,56,2,0.1819,0.0502,true,0.0574,-0.0278,false,
OSL_S_KT84,Weekday,1,44,2,0.1834,0.1051,true,0.1008,0.0611,false,
OSL_S_KT84,Weekday,2,22,2,0.1688,0.5591,true,0.7242,0.2321,true,
OSL_S_KT84,Weekday,9,18,2,0.1904,0.5328,true,0.4982,0.3581,true,
OSL_S_KT84,Weekday,10,35,2,0.1987,0.1274,true,0.6014,0.5723,true,
OSL_S_KT84,Weekday,11,39,2,0.1781,0.1699,true,0.3524,0.417,true,
OSL_S_KT84,Weekday,12,43,2,0.1157,0.6157,true,0.2213,0.1929,false,
OSL_T_35,Weekend,6,28,2,0.2282,0.1091,true,0.2396,0.2835,false,
OSL_T_35,Weekend,9,15,2,0.1832,0.696,true,-0.0255,0.0464,false,
OSL_S_KT138,Weekend,3,29,2,0.1979,0.2073,true,-0.3348,-0.6641,true,
ASK_Plass67,Weekend,6,24,2,0.1492,0.6608,true,-0.0619,0.0844,false,
ASK_Plass67,Weekend,7,18,2,0.1619,0.7338,true,0.1581,0.3829,true,
ASK_Plass67,Weekend,8,19,2,0.1391,0.8567,true,-0.0498,0.0316,false,
ASK_Plass67,Weekend,9,24,2,0.1746,0.4585,true,-0.1092,-0.0243,false,
OSL_T_24,Weekday,8,15,2,0.1348,0.9484,true,0.3432,0.4464,true,
OSL_T_24,Weekday,9,19,2,0.1488,0.7948,true,-0.007,-0.0719,false,
OSL_T_24,Weekday,10,15,2,0.1124,0.9915,true,0.2999,0.2536,false,
OSL_S_KT84,Weekend,1,18,2,0.1492,0.8187,true,0.1931,0.0114,false,
OSL_S_KT84,Weekend,3,15,2,0.1841,0.6906,true,0.1548,-0.2607,false,
OSL_S_KT84,Weekend,12,19,2,0.1946,0.4693,true,0.3548,0.4186,true,
OSL_S_KT112,Weekday,1,19,2,0.199,0.4404,true,0.4093,0.5351,true,
OSL_S_KT112,Weekday,10,15,2,0.1043,0.9968,true,-0.2234,-0.175,false,
OSL_S_KT112,Weekday,11,17,2,0.1165,0.9753,true,0.3092,0.1814,true,
OSL_S_KT112,Weekday,12,45,2,0.1203,0.5358,true,-0.164,-0.174,false,
BOD_02H0505,Weekday,8,21,2,0.197,0.3901,true,0.1773,0.4701,true,
BOD_02H0505,Weekday,9,61,2,0.2315,0.003,false,0.022,0.2721,false,0.2265
BOD_02H0505,Weekday,10,21,2,0.2777,0.079,true,0.3788,0.2909,true,
BOD_02H0505,Weekday,11,42,2,0.1531,0.2805,true,0.2297,0.3343,true,
BOD_02H0505,Weekday,12,22,2,0.2428,0.1502,true,0.1638,0.0683,false,
OSL_S_KT94,Weekday,5,18,2,0.227,0.3128,true,0.0575,0.356,true,
OSL_S_KT94,Weekday,7,29,2,0.1048,0.9084,true,-0.2644,-0.2054,false,
OSL_S_KT94,Weekday,8,37,2,0.1361,0.502,true,0.3628,0.4018,true,
OSL_S_KT94,Weekday,9,30,2,0.124,0.7475,true,0.365,0.3544,true,
OSL_S_KT94,Weekday,11,15,2,0.1755,0.7453,true,-0.5572,-0.6071,true,
OSL_S_KT43,Weekday,6,28,2,0.2762,0.0283,false,0.1273,0.1691,false,0.2285
OSL_S_KT43,Weekday,7,21,2,0.2362,0.193,true,-0.1422,-0.0883,false,
OSL_S_KT43,Weekday,8,22,2,0.2226,0.2266,true,-0.2515,-0.2638,false,
OSL_S_KT43,Weekday,9,24,2,0.1869,0.3728,true,-0.0934,-0.0013,false,
OSL_S_KT43,Weekday,10,56,2,0.0924,0.7291,true,0.0765,0.2171,false,
OSL_S_KT43,Weekday,11,69,2,0.1155,0.3204,true,0.0046,0.1095,false,
OSL_S_KT43,Weekday,12,56,2,0.1398,0.2263,true,0.1821,0.0664,false,
OSL_S_KT72,Weekend,1,24,2,0.1723,0.4759,true,0.3485,0.3739,true,
OSL_S_KT72,Weekend,8,25,2,0.1818,0.382,true,0.0552,0.0823,false,
OSL_S_KT72,Weekend,9,19,2,0.1722,0.6273,true,0.6465,-0.0334,true,
OSL_S_KT72,Weekend,10,30,2,0.1553,0.466,true,0.0753,0.2296,false,
OSL_S_KT72,Weekend,11,35,2,0.1345,0.5538,true,-0.0764,-0.0971,false,
OSL_S_KT72,Weekend,12,24,2,0.121,0.8744,true,0.2447,0.2087,false,
TRO_Plass25,Weekend,9,17,2,0.2023,0.4907,true,0.4243,0.0882,true,
TRO_Plass11,Weekday,11,28,2,0.1075,0.9037,true,0.1293,0.0769,false,
OSL_T_30,Weekday,6,16,2,0.1617,0.7977,true,0.3565,0.0147,true,
OSL_T_30,Weekday,7,18,2,0.138,0.8834,true,0.3128,0.3416,true,
OSL_T_30,Weekday,8,30,2,0.1091,0.8684,true,0.1823,0.3822,true,
OSL_T_30,Weekday,10,16,2,0.2903,0.1354,true,-0.2332,0.0103,false,
TRO_R_AdO3-2,Weekday,9,16,2,0.1199,0.9757,true,-0.0362,-0.2235,false,
TRO_R_AdO3-2,Weekday,10,29,2,0.1614,0.4383,true,0.2962,0.269,false,
TRO_R_AdO3-2,Weekday,11,21,2,0.2324,0.2077,true,0.0189,-0.1039,false,
TRO_R_AdO3-2,Weekday,12,16,2,0.1785,0.6888,true,0.0327,0.0147,false,
OSL_T_76,Weekday,10,31,2,0.1282,0.6902,true,0.1324,0.3836,true,
OSL_T_76,Weekday,11,22,2,0.0888,0.9951,true,-0.1286,-0.127,false,
OSL_S_KT169,Weekend,8,17,2,0.2623,0.1933,true,0.0009,0.3497,true,
OSL_S_KT169,Weekend,10,26,2,0.1484,0.6172,true,0.0704,-0.0394,false,
OSL_S_KT169,Weekend,11,15,2,0.2548,0.2851,true,-0.1737,-0.118,false,
OSL_S_KT17,Weekend,12,31,2,0.1241,0.7283,true,0.075,0.175,false,
OSL_S_KT45,Weekend,1,25,2,0.1309,0.7863,true,0.2152,0.1131,false,
OSL_S_KT45,Weekend,2,24,2,0.1058,0.9515,true,-0.0509,0.1052,false,
OSL_S_KT45,Weekend,9,20,2,0.1754,0.571,true,0.0051,0.3881,true,
OSL_S_KT45,Weekend,10,28,2,0.1523,0.5368,true,0.1339,0.1341,false,
OSL_S_KT45,Weekend,12,21,2,0.1152,0.9437,true,0.1616,0.1818,false,
TRO_R_Bl2-8,Weekday,9,63,2,0.239,0.0016,false,0.3246,0.468,true,0.4981
TRO_R_Bl2-8,Weekday,10,18,2,0.3016,0.076,true,0.0574,0.1146,false,
ASK_Plass89,Weekend,9,16,2,0.2407,0.3129,true,0.2082,0.0265,false,
ASK_Plass89,Weekend,10,25,2,0.1472,0.6523,true,0.2613,0.2681,false,
OSL_S_KT140,Weekday,9,37,2,0.1873,0.1503,true,0.7816,0.7625,true,
OSL_S_KT140,Weekday,10,30,2,0.168,0.3675,true,0.2104,0.3562,true,
OSL_S_KT140,Weekday,11,24,2,0.1295,0.8166,true,0.4527,0.3035,true,
ASK_Plass33,Weekday,8,41,2,0.2118,0.0513,true,0.0377,0.083,false,
ASK_Plass33,Weekday,9,26,2,0.2001,0.2504,true,0.2219,0.385,true,
ASK_Plass33,Weekday,10,44,2,0.1258,0.4925,true,0.0449,0.1269,false,
ASK_Plass33,Weekday,11,39,2,0.1644,0.2447,true,0.0545,0.0061,false,
ASK_Plass33,Weekday,12,30,2,0.1786,0.2957,true,0.1866,0.1429,false,
OSL_T_50,Weekday,7,15,2,0.1403,0.9296,true,0.0384,-0.0893,false,
OSL_T_50,Weekday,9,79,2,0.158,0.0399,false,0.1468,0.054,false,
OSL_T_50,Weekday,10,18,2,0.1181,0.9634,true,0.4164,0.3071,true,
TRO_R_AsO4-2,Weekday,8,37,2,0.3079,0.0018,false,0.2195,0.2074,false,
TRO_R_AsO4-2,Weekday,9,20,2,0.3093,0.0439,false,0.4957,0.8165,true,0.8162
TRO_R_AsO4-2,Weekday,10,20,2,0.1746,0.5769,true,0.9072,0.588,true,
TRO_R_AsO4-2,Weekday,11,28,2,0.2322,0.0984,true,-0.2062,-0.0799,false,
ASK_Plass31,Weekday,8,25,2,0.1923,0.315,true,-0.0329,0.2631,false,
ASK_Plass31,Weekday,9,89,2,0.1717,0.011,false,0.1716,0.385,true,
ASK_Plass31,Weekday,10,36,2,0.1772,0.2098,true,0.1873,0.451,true,
ASK_Plass31,Weekday,11,26,2,0.1632,0.4947,true,0.03,0.0947,false,
TRO_R_Share-12,Weekday,8,28,2,0.0787,0.9952,true,0.3705,0.4461,true,
TRO_R_Share-12,Weekday,10,25,2,0.1439,0.6801,true,0.0808,0.0692,false,
TRO_R_Share-12,Weekday,11,15,2,0.1523,0.878,true,0.2758,0.0607,false,
OSL_S_KT77,Weekday,7,16,2,0.195,0.578,true,0.3794,0.6412,true,
OSL_S_KT77,Weekday,8,48,2,0.1302,0.3932,true,0.2775,0.1892,false,
OSL_S_KT77,Weekday,9,39,2,0.0983,0.847,true,0.3147,0.3216,true,
OSL_S_KT77,Weekday,10,39,2,0.0994,0.8378,true,0.2225,0.2825,false,
OSL_S_KT77,Weekday,11,20,2,0.2517,0.1594,true,0.4155,-0.2586,true,
OSL_S_KT162,Weekend,1,19,2,0.1589,0.7249,true,0.3932,0.3537,true,
OSL_S_KT162,Weekend,3,15,2,0.1822,0.7025,true,0.365,0.4786,true,
OSL_S_KT162,Weekend,12,16,2,0.1743,0.7168,true,0.4881,0.6421,true,
ASK_Plass7,Weekday,9,67,2,0.2615,0.0002,false,0.4291,0.6136,true,0.5978
ASK_Plass7,Weekday,10,97,2,0.2355,0.0,false,0.0781,0.2632,false,
ASK_Plass7,Weekday,11,58,2,0.2634,0.0007,false,-0.0538,0.0481,false,0.233
ASK_Plass7,Weekday,12,45,2,0.1218,0.5199,true,-0.0682,-0.108,false,
TRO_R_AsO6-1,Weekday,8,24,2,0.2753,0.0531,true,-0.1812,-0.0939,false,
ASK_Plass89,Weekday,5,22,2,0.1443,0.7507,true,0.0144,0.013,false,
ASK_Plass89,Weekday,6,22,2,0.1564,0.6566,true,0.5511,0.4116,true,
ASK_Plass89,Weekday,7,30,2,0.151,0.5028,true,0.2305,0.3431,true,
ASK_Plass89,Weekday,8,42,2,0.1562,0.2595,true,0.1187,0.285,false,
ASK_Plass89,Weekday,9,21,2,0.1532,0.7089,true,0.1826,0.1793,false,
ASK_Plass89,Weekday,10,32,2,0.1653,0.3481,true,0.2296,0.4555,true,
ASK_Plass89,Weekday,11,55,2,0.0768,0.9038,true,0.2719,0.0713,false,
ASK_Plass89,Weekday,12,19,2,0.2141,0.3499,true,-0.0938,0.1176,false,
ASK_Plass37,Weekday,8,18,2,0.3054,0.0701,true,0.3333,0.5769,true,
ASK_Plass37,Weekday,9,39,2,0.2629,0.0093,false,0.6051,0.7438,true,
ASK_Plass37,Weekday,10,58,2,0.2321,0.004,false,0.5646,0.6796,true,
ASK_Plass37,Weekday,11,45,2,0.1635,0.182,true,0.1354,0.1932,false,
ASK_Plass37,Weekday,12,29,2,0.1541,0.4982,true,0.0731,0.1777,false,
OSL_T_13,Weekday,1,15,2,0.1134,0.9906,true,0.0554,0.1179,false,
OSL_T_13,Weekday,5,17,2,0.1831,0.6197,true,0.1558,0.1299,false,
OSL_T_13,Weekday,7,17,2,0.276,0.1506,true,-0.2722,0.0834,false,
OSL_T_13,Weekday,10,16,2,0.2621,0.2225,true,0.2943,0.2441,false,
OSL_T_13,Weekday,11,22,2,0.1373,0.8025,true,-0.1885,0.0655,false,
OSL_T_13,Weekday,12,46,2,0.1873,0.0806,true,-0.0932,0.2172,false,
OSL_S_KT138,Weekday,11,30,2,0.1772,0.3048,true,0.0983,0.2192,false,
TRO_Plass27,Weekday,8,24,2,0.1622,0.5545,true,0.439,0.4136,true,
TRO_Plass27,Weekday,9,77,2,0.1757,0.0179,false,0.2851,0.4338,true,
TRO_Plass27,Weekday,10,43,2,0.3073,0.0006,false,0.8891,0.0412,true,
TRO_Plass27,Weekday,11,36,2,0.3222,0.0012,false,0.7116,0.3886,true,
TRO_R_MS1-2,Weekday,9,32,2,0.3029,0.0058,false,0.1264,0.1796,false,0.191
TRO_R_MS1-2,Weekday,10,26,2,0.2213,0.1577,true,0.2242,0.4769,true,
TRO_R_MS1-2,Weekday,11,16,2,0.3226,0.0719,true,0.0956,0.1235,false,
TRO_R_MS1-2,Weekday,12,21,2,0.3866,0.0038,false,-0.3837,-0.1688,true,
OSL_S_KT160,Weekday,1,25,2,0.2068,0.2366,true,0.1157,-0.0281,false,
OSL_S_KT160,Weekday,2,27,2,0.2649,0.0457,false,-0.3495,-0.4835,true,-0.3802
TRO_R_UT7-2,Weekday,9,17,2,0.3436,0.0364,false,-0.0284,-0.098,false,0.0776
TRO_R_UT7-2,Weekday,10,19,2,0.3157,0.0457,false,-0.3371,0.0509,true,
TRO_R_UT7-2,Weekday,11,33,2,0.224,0.0738,true,0.028,-0.2533,false,
TRO_R_AsO10-1,Weekday,8,16,2,0.2369,0.3314,true,-0.0045,0.2147,false,
TRO_R_AsO10-1,Weekday,9,21,2,0.3342,0.0185,false,0.3337,0.0779,true,0.29
TRO_R_AsO10-1,Weekday,10,18,2,0.2491,0.2147,true,0.7005,0.5975,true,
TRO_R_AsO10-1,Weekday,11,25,2,0.184,0.3672,true,0.0046,0.0508,false,
TRO_R_AsO10-1,Weekday,12,15,2,0.2331,0.3898,true,0.0162,0.5143,true,
TRO_R_UT1-1,Weekday,9,31,2,0.1263,0.7079,true,0.1752,0.3077,true,
TRO_R_UT1-1,Weekday,10,25,2,0.141,0.7044,true,0.5922,0.3,true,
TRO_R_UT1-1,Weekday,11,18,2,0.1681,0.6901,true,0.2325,0.5542,true,
TRO_R_UT1-1,Weekday,12,15,2,0.183,0.6977,true,0.2809,0.3357,true,
OSL_T_38,Weekday,8,30,2,0.128,0.7115,true,0.3908,0.4386,true,
OSL_T_38,Weekday,9,33,2,0.1691,0.3038,true,0.0369,0.1357,false,
OSL_T_38,Weekday,11,16,2,0.2263,0.3866,true,0.1639,0.1059,false,
OSL_T_38,Weekday,12,17,2,0.1759,0.6698,true,0.398,0.5368,true,
TRO_R_UT15-2,Weekday,9,57,2,0.2187,0.0089,false,0.084,0.5229,true,
KRO_aYnkLAxyEe,Weekday,8,32,2,0.2224,0.0852,true,0.0854,0.5949,true,
KRO_aYnkLAxyEe,Weekday,9,34,2,0.2367,0.0449,false,-0.0192,0.204,false,
TRO_Plass17,Weekday,9,29,2,0.1575,0.4699,true,0.3551,0.3629,true,
TRO_Plass17,Weekday,12,17,2,0.1815,0.6307,true,0.0302,0.0147,false,
BAR_Plass126,Weekday,9,198,2,0.1501,0.0003,false,-0.0502,-0.1541,false,
TRO_R_Share-4,Weekday,7,16,2,0.1265,0.9603,true,0.0762,0.1735,false,
TRO_R_Share-4,Weekday,9,16,2,0.1857,0.6403,true,0.1434,0.1824,false,
BAR_Plass160,Weekday,8,213,2,0.115,0.008,false,0.021,0.233,false,
BAR_Plass160,Weekday,9,69,2,0.1872,0.0164,false,-0.0444,0.1625,false,
BAR_Plass160,Weekday,10,18,2,0.351,0.0239,false,0.6109,0.2598,true,
OSL_S_KT45,Weekday,1,23,2,0.2687,0.0728,true,-0.0657,-0.1117,false,
OSL_S_KT45,Weekday,8,32,2,0.2435,0.0455,false,0.5217,0.4728,true,
OSL_S_KT45,Weekday,9,107,2,0.2137,0.0001,false,0.2918,0.4182,true,
OSL_S_KT45,Weekday,10,68,2,0.2435,0.0007,false,0.0727,0.4102,true,
OSL_S_KT45,Weekday,11,40,2,0.1726,0.1861,true,0.107,0.3789,true,
OSL_S_KT45,Weekday,12,60,2,0.156,0.1098,true,0.2199,0.3504,true,
ASK_Plass87,Weekend,7,16,2,0.1879,0.6255,true,-0.2157,0.0118,false,
OSL_T_26,Weekday,6,32,2,0.3555,0.0006,false,0.0314,-0.1725,false,
OSL_T_26,Weekday,9,129,2,0.1468,0.0082,false,0.1454,0.0823,false,
OSL_T_26,Weekday,12,20,2,0.2697,0.1096,true,0.2741,0.2052,false,
ASK_Plass7,Weekend,8,15,2,0.2264,0.4264,true,0.0194,0.1929,false,
ASK_Plass7,Weekend,9,15,2,0.1303,0.9611,true,0.3348,0.3003,true,
