L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.021395 nats  (excellent)
  Plug-in duration   : 0.019458 nats  (excellent)
  Idle gap           : 0.098001 nats  (acceptable)
  Energy             : 0.027737 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0000   0.0000
  01   0.0000   0.0000
  02   0.0000   0.0000
  03   0.0000   0.0000
  04   0.0000   0.0000
  05   0.0000   0.0000
  06   0.0000   0.0000
  07   0.0000   0.0006
  08   0.0192   0.0171
  09   0.0456   0.0376
  10   0.0809   0.0842
  11   0.1579   0.1504
  12   0.1579   0.1849
  13   0.0923   0.0917
  14   0.0471   0.0379
  15   0.0460   0.0510
  16   0.1017   0.1112
  17   0.1390   0.1277
  18   0.0664   0.0746
  19   0.0279   0.0221
  20   0.0134   0.0056
  21   0.0039   0.0031
  22   0.0008   0.0000
  23   0.0000   0.0003
