user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|ASK_Plass23,Weekday,16,18,1,0.2862,0.1053,true,0.4282,0.323,true,
norway|ASK_Plass23,Weekday,18,34,1,0.1907,0.17,true,0.3506,0.5897,true,
norway|ASK_Plass23,Weekday,19,36,1,0.2336,0.0399,false,0.5132,0.3062,true,
norway|ASK_Plass23,Weekday,20,30,1,0.2174,0.1182,true,0.2067,0.2811,false,
norway|ASK_Plass23,Weekday,21,42,1,0.1748,0.1552,true,0.3092,0.1243,true,
norway|ASK_Plass23,Weekday,22,38,1,0.2431,0.0228,false,0.0748,0.2141,false,0.0258
norway|ASK_Plass23,Weekday,23,15,1,0.1912,0.6443,true,-0.0496,-0.1519,false,
pecan|PS_8156,Weekday,8,15,1,0.2693,0.2276,true,-0.2593,-0.1522,false,
pecan|PS_8156,Weekday,18,19,1,0.2009,0.4282,true,0.5033,0.2474,true,
pecan|PS_8156,Weekday,19,57,1,0.1855,0.0404,false,0.0628,0.0531,false,
pecan|PS_8156,Weekday,20,82,1,0.1432,0.0713,true,-0.163,-0.2949,false,
pecan|PS_8156,Weekday,21,18,1,0.1636,0.7218,true,0.117,0.2552,false,
pecan|PS_8156,Weekday,23,15,1,0.2947,0.1482,true,-0.1003,-0.2129,false,
norway|TRO_Plass45,Weekday,16,24,1,0.196,0.3165,true,-0.1003,0.1953,false,
norway|TRO_Plass45,Weekday,17,18,1,0.175,0.6407,true,-0.2374,-0.1208,false,
norway|TRO_Plass45,Weekday,18,17,1,0.2014,0.4969,true,0.1032,0.0196,false,
kim|KR_401,Weekday,17,30,1,0.1028,0.9098,true,0.1429,-0.0211,false,
georgia|GT_37412595,Weekday,14,24,1,0.1125,0.9223,true,0.1931,-0.1122,false,
georgia|GT_37412595,Weekday,18,21,1,0.1572,0.6783,true,-0.4101,-0.4519,true,
georgia|GT_37412595,Weekday,19,26,1,0.0847,0.9923,true,-0.0621,0.1713,false,
georgia|GT_45267948,Weekday,13,44,1,0.2537,0.0071,false,-0.0913,-0.4247,true,
norway|TRO_Plass41,Weekday,12,16,1,0.3207,0.0748,true,0.9557,0.2399,true,
norway|TRO_Plass41,Weekday,13,22,1,0.2704,0.0806,true,0.0407,-0.2169,false,
norway|TRO_Plass41,Weekday,14,17,1,0.2978,0.0986,true,0.557,0.2344,true,
norway|TRO_Plass41,Weekday,15,19,1,0.2434,0.211,true,-0.2288,-0.2291,false,
norway|TRO_Plass41,Weekday,16,18,1,0.1412,0.866,true,0.3407,0.1354,true,
