L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.024639 nats  (excellent)
  Plug-in duration   : 0.010695 nats  (excellent)
  Idle gap           : 0.010856 nats  (excellent)
  Energy             : 0.083217 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0742
  01   0.0909   0.1043
  02   0.0721   0.0805
  03   0.0553   0.0578
  04   0.0338   0.0307
  05   0.0245   0.0178
  06   0.0132   0.0058
  07   0.0093   0.0074
  08   0.0080   0.0030
  09   0.0013   0.0019
  10   0.0015   0.0005
  11   0.0049   0.0022
  12   0.0067   0.0058
  13   0.0349   0.0353
  14   0.0757   0.0791
  15   0.1400   0.1709
  16   0.0883   0.0958
  17   0.0387   0.0400
  18   0.0390   0.0378
  19   0.0439   0.0277
  20   0.0333   0.0222
  21   0.0318   0.0244
  22   0.0331   0.0329
  23   0.0550   0.0422
