L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.007196 nats  (excellent)
  Plug-in duration   : 0.013679 nats  (excellent)
  Idle gap           : 0.005072 nats  (excellent)
  Energy             : 0.002041 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0194   0.0136
  01   0.0105   0.0082
  02   0.0071   0.0068
  03   0.0095   0.0093
  04   0.0103   0.0117
  05   0.0061   0.0075
  06   0.0070   0.0088
  07   0.0116   0.0100
  08   0.0173   0.0132
  09   0.0181   0.0137
  10   0.0197   0.0158
  11   0.0258   0.0229
  12   0.0295   0.0225
  13   0.0370   0.0299
  14   0.0588   0.0576
  15   0.0876   0.0919
  16   0.1201   0.1349
  17   0.1084   0.1184
  18   0.0892   0.0955
  19   0.0792   0.0792
  20   0.0772   0.0774
  21   0.0603   0.0589
  22   0.0541   0.0543
  23   0.0361   0.0377
