L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.008848 nats  (excellent)
  Plug-in duration   : 0.011602 nats  (excellent)
  Idle gap           : 0.004670 nats  (excellent)
  Energy             : 0.012674 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0183   0.0143
  01   0.0062   0.0057
  02   0.0033   0.0049
  03   0.0026   0.0052
  04   0.0049   0.0052
  05   0.0229   0.0255
  06   0.0281   0.0293
  07   0.0183   0.0241
  08   0.0203   0.0195
  09   0.0252   0.0172
  10   0.0379   0.0428
  11   0.0291   0.0247
  12   0.0288   0.0250
  13   0.0291   0.0275
  14   0.0412   0.0422
  15   0.0507   0.0496
  16   0.0709   0.0792
  17   0.1883   0.1877
  18   0.1455   0.1570
  19   0.0716   0.0755
  20   0.0490   0.0428
  21   0.0360   0.0247
  22   0.0229   0.0218
  23   0.0490   0.0488
