user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
gist|KR_U1225,Weekday,18,83,1,0.1574,0.0339,false,-0.0201,-0.313,true,
gist|KR_U1225,Weekday,19,18,1,0.1556,0.7771,true,0.0698,-0.1685,false,
gist|KR_U1764,Weekday,19,26,1,0.2079,0.2123,true,0.3205,0.1197,true,
norway|OSL_S_KT137,Weekday,9,16,1,0.239,0.3211,true,0.3601,0.4088,true,
norway|OSL_S_KT137,Weekday,15,15,1,0.1741,0.7545,true,0.3106,0.325,true,
norway|OSL_S_KT137,Weekday,16,17,1,0.1868,0.5942,true,0.5439,0.3102,true,
norway|OSL_S_KT137,Weekday,17,46,1,0.1599,0.1925,true,0.2205,0.2814,false,
norway|OSL_S_KT137,Weekday,18,33,1,0.1192,0.7387,true,0.2124,0.2358,false,
norway|OSL_S_KT137,Weekday,19,19,1,0.1362,0.8731,true,0.2408,0.1316,false,
norway|OSL_S_KT137,Weekday,21,15,1,0.1523,0.8778,true,-0.1957,-0.2536,false,
norway|OSL_S_KT162,Weekday,1,26,1,0.158,0.5367,true,-0.3518,-0.5598,true,
norway|OSL_S_KT162,Weekday,17,20,1,0.1679,0.627,true,0.2663,0.2414,false,
norway|OSL_S_KT162,Weekday,22,17,1,0.1591,0.7833,true,-0.1763,0.0221,false,
norway|OSL_S_KT162,Weekday,23,24,1,0.1726,0.4736,true,0.1351,0.0052,false,
norway|OSL_S_KT162,Weekday,24,27,1,0.1713,0.4084,true,-0.2702,-0.2055,false,
norway|BAR_Plass160,Weekday,16,207,1,0.3325,0.0,false,0.0193,0.2293,false,
norway|BAR_Plass160,Weekday,17,27,1,0.187,0.3034,true,0.1252,-0.1869,false,
norway|BAR_Plass160,Weekday,18,42,1,0.2601,0.007,false,-0.1704,0.3907,true,
norway|BAR_Plass113,Weekend,18,15,1,0.1238,0.9757,true,-0.1377,0.1571,false,
norway|OSL_S_KT76,Weekday,16,18,1,0.2275,0.31,true,-0.1373,0.0258,false,
norway|OSL_S_KT76,Weekday,17,26,1,0.1449,0.6474,true,-0.1885,-0.0222,false,
norway|OSL_S_KT76,Weekday,18,25,1,0.1943,0.3032,true,0.0218,-0.0173,false,
norway|OSL_S_KT76,Weekday,19,21,1,0.1559,0.6881,true,-0.1835,-0.0961,false,
norway|OSL_S_KT112,Weekday,1,17,1,0.2175,0.3981,true,0.3608,0.4632,true,
norway|OSL_S_KT112,Weekday,24,35,1,0.1461,0.4462,true,-0.3511,-0.2409,true,
norway|OSL_S_KT138,Weekend,5,27,1,0.2544,0.0612,true,-0.3115,-0.6149,true,
gist|KR_U1629,Weekday,9,18,1,0.1899,0.536,true,-0.0031,0.2301,false,
gist|KR_U1629,Weekday,13,16,1,0.2227,0.4066,true,0.6103,0.6156,true,
kim|KR_70,Weekday,9,29,1,0.3601,0.0011,false,-0.0946,-0.4621,true,
kim|KR_70,Weekday,10,133,1,0.202,0.0,false,-0.1087,-0.331,true,
norway|ASK_Plass25,Weekend,20,17,1,0.1289,0.9406,true,-0.0249,-0.201,false,
norway|OSL_S_KT169,Weekday,15,209,1,0.0798,0.147,true,-0.0949,0.015,false,
norway|OSL_S_KT169,Weekday,16,30,1,0.3413,0.0019,false,-0.128,0.1501,false,-0.0541
kim|KR_1231,Weekday,18,18,1,0.2089,0.4129,true,0.446,0.4551,true,
kim|KR_1231,Weekday,19,17,1,0.1585,0.7872,true,0.1652,-0.1912,false,
norway|OSL_T_71,Weekday,19,16,1,0.1202,0.9751,true,0.3105,-0.0118,true,
norway|ASK_Plass55,Weekday,17,40,1,0.1172,0.6444,true,-0.0122,0.1672,false,
norway|ASK_Plass55,Weekday,18,19,1,0.1625,0.6984,true,0.6067,0.5485,true,
norway|ASK_Plass55,Weekday,19,16,1,0.2203,0.4202,true,0.0459,0.4371,true,
norway|ASK_Plass55,Weekday,20,16,1,0.176,0.7055,true,0.0731,0.2441,false,
norway|ASK_Plass55,Weekday,21,17,1,0.2374,0.2945,true,0.3481,0.208,true,
gist|KR_U1228,Weekend,18,23,1,0.1579,0.6164,true,-0.3756,-0.4739,true,
norway|TRO_Plass11,Weekday,21,24,1,0.1429,0.7128,true,0.1594,0.1948,false,
norway|BOD_02H0505,Weekday,17,44,1,0.2103,0.0415,false,-0.0565,0.2118,false,0.1721
norway|BOD_02H0505,Weekday,18,17,1,0.304,0.0869,true,0.684,0.5515,true,
norway|BOD_02H0505,Weekday,21,23,1,0.1235,0.8754,true,0.3293,0.3687,true,
norway|BOD_02H0505,Weekday,22,19,1,0.2479,0.1942,true,0.4023,0.2614,true,
norway|BOD_02H0505,Weekday,23,16,1,0.242,0.3068,true,-0.1529,-0.3235,true,
norway|TRO_R_AsO6-1,Weekday,16,20,1,0.2546,0.1503,true,-0.1866,-0.1459,false,
norway|OSL_T_49,Weekday,19,25,1,0.1623,0.5272,true,0.1178,0.1908,false,
norway|OSL_T_49,Weekday,20,25,1,0.1701,0.4662,true,0.2053,0.035,false,
norway|OSL_T_49,Weekday,21,21,1,0.1683,0.593,true,0.484,-0.1506,true,
norway|TRO_R_AdO1-2,Weekday,14,15,1,0.1533,0.8729,true,-0.0359,0.0893,false,
norway|TRO_R_AdO1-2,Weekday,17,18,1,0.2453,0.2299,true,0.2123,0.3705,true,
norway|TRO_R_AdO1-2,Weekday,21,17,1,0.1375,0.9054,true,0.0735,-0.0784,false,
norway|TRO_R_UT15-2,Weekday,17,41,1,0.2995,0.0013,false,0.3514,0.5537,true,
norway|TRO_R_UT15-2,Weekday,18,16,1,0.1979,0.5589,true,-0.3114,-0.3029,true,
norway|BAR_Plass121,Weekday,15,31,1,0.1313,0.6611,true,0.1652,0.3978,true,
norway|BAR_Plass121,Weekday,16,30,1,0.1695,0.3568,true,0.1584,0.3836,true,
norway|BAR_Plass121,Weekday,17,43,1,0.1287,0.4774,true,0.0532,0.2804,false,
norway|BAR_Plass121,Weekday,18,26,1,0.1262,0.803,true,0.2071,0.0605,false,
norway|BAR_Plass121,Weekday,19,18,1,0.2309,0.2934,true,-0.1218,0.033,false,
norway|BAR_Plass121,Weekday,21,24,1,0.217,0.2094,true,0.2761,0.1853,false,
