L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.004582 nats  (excellent)
  Plug-in duration   : 0.012331 nats  (excellent)
  Idle gap           : 0.002629 nats  (excellent)
  Energy             : 0.002708 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0249   0.0204
  01   0.0204   0.0186
  02   0.0151   0.0143
  03   0.0151   0.0140
  04   0.0132   0.0148
  05   0.0083   0.0075
  06   0.0077   0.0077
  07   0.0114   0.0092
  08   0.0162   0.0130
  09   0.0160   0.0141
  10   0.0175   0.0136
  11   0.0232   0.0194
  12   0.0267   0.0222
  13   0.0367   0.0316
  14   0.0609   0.0641
  15   0.0940   0.1035
  16   0.1162   0.1280
  17   0.0999   0.1049
  18   0.0830   0.0872
  19   0.0749   0.0744
  20   0.0718   0.0730
  21   0.0568   0.0580
  22   0.0516   0.0493
  23   0.0385   0.0373
