L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.004965 nats  (excellent)
  Plug-in duration   : 0.012424 nats  (excellent)
  Idle gap           : 0.005233 nats  (excellent)
  Energy             : 0.001944 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0194   0.0149
  01   0.0105   0.0081
  02   0.0071   0.0074
  03   0.0095   0.0103
  04   0.0103   0.0116
  05   0.0061   0.0063
  06   0.0070   0.0072
  07   0.0116   0.0109
  08   0.0173   0.0143
  09   0.0181   0.0146
  10   0.0197   0.0158
  11   0.0258   0.0217
  12   0.0295   0.0244
  13   0.0370   0.0305
  14   0.0588   0.0560
  15   0.0876   0.0927
  16   0.1201   0.1311
  17   0.1084   0.1145
  18   0.0892   0.0947
  19   0.0792   0.0778
  20   0.0772   0.0813
  21   0.0603   0.0614
  22   0.0541   0.0547
  23   0.0361   0.0378
