L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.020758 nats  (excellent)
  Plug-in duration   : 0.010631 nats  (excellent)
  Idle gap           : 0.009452 nats  (excellent)
  Energy             : 0.089715 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0780
  01   0.0909   0.1061
  02   0.0721   0.0749
  03   0.0553   0.0593
  04   0.0338   0.0312
  05   0.0245   0.0184
  06   0.0132   0.0072
  07   0.0093   0.0058
  08   0.0080   0.0028
  09   0.0013   0.0022
  10   0.0015   0.0025
  11   0.0049   0.0050
  12   0.0067   0.0058
  13   0.0349   0.0342
  14   0.0757   0.0832
  15   0.1400   0.1659
  16   0.0883   0.0905
  17   0.0387   0.0401
  18   0.0390   0.0298
  19   0.0439   0.0362
  20   0.0333   0.0242
  21   0.0318   0.0248
  22   0.0331   0.0342
  23   0.0550   0.0376
