user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
OSL_T_41,Weekday,9,28,2,0.1644,0.4377,true,0.0208,-0.0536,false,
OSL_T_41,Weekday,10,15,2,0.2277,0.4192,true,0.564,0.3429,true,
OSL_T_41,Weekday,11,18,2,0.1685,0.6874,true,-0.4552,-0.2611,true,
TRO_R_AdO1-3,Weekday,9,68,2,0.1702,0.0399,false,0.1527,0.5207,true,
TRO_R_AdO1-3,Weekday,10,37,2,0.1376,0.4878,true,0.2025,0.3246,true,
TRO_R_AdO1-3,Weekday,11,30,2,0.1379,0.6201,true,0.0216,-0.0149,false,
OSL_S_KT202,Weekday,8,68,2,0.201,0.0085,false,0.3158,0.5066,true,
OSL_S_KT202,Weekday,9,24,2,0.2301,0.1585,true,0.1803,0.5288,true,
OSL_S_KT202,Weekday,10,39,2,0.1128,0.7066,true,0.2553,0.2849,false,
OSL_S_KT202,Weekday,11,28,2,0.1324,0.7123,true,0.1106,0.0454,false,
TRO_Plass41,Weekday,5,17,2,0.1635,0.7548,true,-0.1689,-0.0111,false,
TRO_Plass41,Weekday,6,29,2,0.1959,0.217,true,0.6129,0.2952,true,
TRO_Plass41,Weekday,7,39,2,0.316,0.0009,false,0.5708,-0.0018,true,0.3793
TRO_Plass41,Weekday,8,37,2,0.0762,0.9829,true,0.0651,-0.0333,false,
TRO_Plass41,Weekday,9,47,2,0.1706,0.1312,true,0.3817,0.4054,true,
TRO_Plass41,Weekday,10,47,2,0.091,0.833,true,0.1173,0.0763,false,
TRO_Plass41,Weekday,11,43,2,0.1179,0.5907,true,-0.2424,0.1326,false,
TRO_Plass41,Weekday,12,26,2,0.1639,0.4891,true,-0.1645,-0.3892,true,
ASK_Plass45,Weekday,8,23,2,0.1341,0.8034,true,-0.0531,-0.0119,false,
ASK_Plass45,Weekday,10,17,2,0.1705,0.707,true,-0.044,-0.1275,false,
ASK_Plass45,Weekday,11,86,2,0.1472,0.0497,false,0.2726,0.0577,false,
ASK_Plass55,Weekday,8,19,2,0.2087,0.3804,true,0.2888,0.3263,true,
ASK_Plass55,Weekday,9,59,2,0.1112,0.4629,true,0.0984,0.2469,false,
ASK_Plass55,Weekday,10,32,2,0.1498,0.4709,true,0.084,0.2768,false,
ASK_Plass55,Weekday,11,27,2,0.1979,0.2421,true,0.0669,-0.1721,false,
TRO_R_Bl2-1,Weekday,8,28,2,0.1804,0.3237,true,0.4595,0.4373,true,
TRO_R_Bl2-1,Weekday,9,24,2,0.2176,0.2069,true,0.3688,0.64,true,
TRO_R_Bl2-1,Weekday,10,38,2,0.1562,0.3139,true,0.2852,0.2949,false,
