L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.005268 nats  (excellent)
  Plug-in duration   : 0.017356 nats  (excellent)
  Idle gap           : 0.003219 nats  (excellent)
  Energy             : 0.003272 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0194   0.0143
  01   0.0105   0.0082
  02   0.0071   0.0065
  03   0.0095   0.0084
  04   0.0103   0.0139
  05   0.0061   0.0070
  06   0.0070   0.0072
  07   0.0116   0.0100
  08   0.0173   0.0143
  09   0.0181   0.0171
  10   0.0197   0.0152
  11   0.0258   0.0229
  12   0.0295   0.0237
  13   0.0370   0.0307
  14   0.0588   0.0590
  15   0.0876   0.0933
  16   0.1201   0.1292
  17   0.1084   0.1175
  18   0.0892   0.0909
  19   0.0792   0.0780
  20   0.0772   0.0788
  21   0.0603   0.0629
  22   0.0541   0.0545
  23   0.0361   0.0366
