L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.040112 nats  (excellent)
  Plug-in duration   : 0.011778 nats  (excellent)
  Idle gap           : 0.009316 nats  (excellent)
  Energy             : 0.076957 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0609
  01   0.0909   0.1082
  02   0.0721   0.0823
  03   0.0553   0.0454
  04   0.0338   0.0262
  05   0.0245   0.0121
  06   0.0132   0.0063
  07   0.0093   0.0047
  08   0.0080   0.0028
  09   0.0013   0.0019
  10   0.0015   0.0019
  11   0.0049   0.0055
  12   0.0067   0.0085
  13   0.0349   0.0322
  14   0.0757   0.0752
  15   0.1400   0.1964
  16   0.0883   0.1143
  17   0.0387   0.0303
  18   0.0390   0.0297
  19   0.0439   0.0333
  20   0.0333   0.0300
  21   0.0318   0.0319
  22   0.0331   0.0253
  23   0.0550   0.0344
