L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.021630 nats  (excellent)
  Plug-in duration   : 0.028217 nats  (excellent)
  Idle gap           : 0.064225 nats  (acceptable)
  Energy             : 0.030404 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0035   0.0042
  01   0.0047   0.0029
  02   0.0029   0.0063
  03   0.0018   0.0038
  04   0.0006   0.0008
  05   0.0006   0.0021
  06   0.0012   0.0033
  07   0.0393   0.0322
  08   0.0762   0.0623
  09   0.1032   0.0844
  10   0.0152   0.0079
  11   0.0182   0.0117
  12   0.0223   0.0217
  13   0.0328   0.0339
  14   0.0393   0.0531
  15   0.0715   0.0874
  16   0.1905   0.1931
  17   0.1723   0.1605
  18   0.0739   0.0690
  19   0.0428   0.0560
  20   0.0381   0.0347
  21   0.0182   0.0217
  22   0.0123   0.0184
  23   0.0188   0.0284
