L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.005628 nats  (excellent)
  Plug-in duration   : 0.020439 nats  (excellent)
  Idle gap           : 0.005140 nats  (excellent)
  Energy             : 0.002632 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0164   0.0139
  01   0.0079   0.0071
  02   0.0051   0.0065
  03   0.0048   0.0038
  04   0.0079   0.0097
  05   0.0067   0.0091
  06   0.0085   0.0109
  07   0.0150   0.0160
  08   0.0218   0.0194
  09   0.0208   0.0207
  10   0.0214   0.0201
  11   0.0251   0.0223
  12   0.0320   0.0276
  13   0.0379   0.0388
  14   0.0531   0.0526
  15   0.0846   0.0796
  16   0.1244   0.1381
  17   0.1158   0.1150
  18   0.0951   0.0921
  19   0.0776   0.0789
  20   0.0762   0.0771
  21   0.0563   0.0505
  22   0.0500   0.0425
  23   0.0356   0.0477
