L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.005429 nats  (excellent)
  Plug-in duration   : 0.016013 nats  (excellent)
  Idle gap           : 0.004441 nats  (excellent)
  Energy             : 0.002705 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0194   0.0146
  01   0.0105   0.0079
  02   0.0071   0.0070
  03   0.0095   0.0087
  04   0.0103   0.0123
  05   0.0061   0.0068
  06   0.0070   0.0067
  07   0.0116   0.0103
  08   0.0173   0.0138
  09   0.0181   0.0158
  10   0.0197   0.0162
  11   0.0258   0.0221
  12   0.0295   0.0237
  13   0.0370   0.0297
  14   0.0588   0.0582
  15   0.0876   0.0936
  16   0.1201   0.1336
  17   0.1084   0.1138
  18   0.0892   0.0926
  19   0.0792   0.0827
  20   0.0772   0.0792
  21   0.0603   0.0593
  22   0.0541   0.0529
  23   0.0361   0.0386
