user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|TRO_R_UT15-2,Weekday,18,16,1,0.1903,0.6094,true,-0.3114,-0.3029,true,
norway|BAR_Plass121,Weekday,15,31,1,0.1663,0.3599,true,0.1652,0.3978,true,
norway|BAR_Plass121,Weekday,16,30,1,0.1533,0.4834,true,0.1584,0.3836,true,
norway|BAR_Plass121,Weekday,17,43,1,0.1245,0.5206,true,0.0532,0.2804,false,
norway|BAR_Plass121,Weekday,18,26,1,0.1217,0.8368,true,0.2071,0.0605,false,
norway|BAR_Plass121,Weekday,19,18,1,0.2373,0.2637,true,-0.1218,0.033,false,
norway|BAR_Plass121,Weekday,21,24,1,0.2263,0.172,true,0.2761,0.1853,false,
norway|OSL_T_41,Weekday,18,16,1,0.1865,0.6349,true,0.3224,0.3588,true,
kim|KR_178,Weekday,8,38,1,0.1318,0.5265,true,0.2531,-0.066,false,
norway|ASK_Plass57,Weekend,18,18,1,0.1935,0.5119,true,0.38,0.3325,true,
gist|KR_U280,Weekday,1,16,1,0.1744,0.7162,true,0.2428,0.1324,false,
acn|ACN_2-39-128-18,Weekday,17,25,1,0.1159,0.8911,true,0.056,0.1577,false,
acn|ACN_2-39-128-18,Weekday,20,15,1,0.2002,0.5859,true,-0.0047,0.3357,true,
gist|KR_U89,Weekday,6,35,1,0.1573,0.3537,true,-0.0295,-0.3603,true,
gist|KR_U89,Weekday,7,29,1,0.4329,0.0,false,-0.156,-0.2484,false,-0.1183
gist|KR_U124,Weekday,19,34,1,0.1975,0.1422,true,-0.2063,-0.4796,true,
gist|KR_U124,Weekday,20,15,1,0.2937,0.1508,true,-0.2079,-0.3286,true,
norway|ASK_Plass37,Weekday,16,16,1,0.2355,0.3384,true,0.4874,0.55,true,
norway|ASK_Plass37,Weekday,17,29,1,0.2318,0.0895,true,0.5364,0.7262,true,
norway|ASK_Plass37,Weekday,19,35,1,0.2346,0.043,false,0.5094,0.6546,true,
norway|ASK_Plass37,Weekday,20,23,1,0.2364,0.1536,true,0.642,0.7549,true,
norway|ASK_Plass37,Weekday,21,30,1,0.1521,0.4936,true,0.0413,0.0814,false,
norway|ASK_Plass37,Weekday,22,15,1,0.2402,0.3532,true,0.1972,0.1144,false,
norway|ASK_Plass37,Weekday,23,26,1,0.1655,0.476,true,0.1607,0.3511,true,
acn|ACN_2-39-89-25,Weekday,14,24,1,0.1345,0.7791,true,-0.2971,-0.2719,false,
acn|ACN_2-39-89-25,Weekday,16,54,1,0.2228,0.0097,false,0.6835,0.4618,true,
acn|ACN_2-39-89-25,Weekday,17,22,1,0.2212,0.2329,true,0.466,0.4896,true,
acn|ACN_2-39-123-23,Weekday,16,29,1,0.0913,0.9694,true,0.2819,0.3975,true,
acn|ACN_2-39-123-23,Weekday,17,42,1,0.1904,0.0965,true,0.2551,0.3234,true,
norway|TRO_R_UT1-1,Weekday,17,24,1,0.1581,0.5874,true,0.112,0.3087,true,
norway|TRO_R_UT1-1,Weekday,20,17,1,0.1668,0.7324,true,0.6485,0.2672,true,
acn|ACN_2-39-131-30,Weekday,2,31,1,0.18,0.2691,true,-0.1716,0.2903,false,
acn|ACN_2-39-131-30,Weekday,3,16,1,0.1931,0.5907,true,-0.214,0.1441,false,
acn|ACN_2-39-131-30,Weekday,4,17,1,0.1736,0.686,true,-0.3763,-0.3284,true,
acn|ACN_2-39-131-30,Weekday,16,51,1,0.1311,0.3479,true,0.1385,0.1592,false,
norway|TRO_R_AsO10-1,Weekday,16,15,1,0.2461,0.3247,true,-0.0424,0.2286,false,
norway|TRO_R_AsO10-1,Weekday,17,19,1,0.2808,0.1005,true,0.3537,0.0474,true,
norway|TRO_R_AsO10-1,Weekday,21,15,1,0.274,0.2109,true,-0.0169,0.3,false,
norway|OSL_S_KT43,Weekday,11,15,1,0.3008,0.1329,true,0.5694,0.1821,true,
norway|OSL_S_KT43,Weekday,19,20,1,0.1119,0.964,true,0.3538,0.2466,true,
norway|OSL_S_KT43,Weekday,20,36,1,0.1194,0.6855,true,0.0228,0.2054,false,
norway|OSL_S_KT43,Weekday,21,30,1,0.1312,0.6816,true,0.1248,0.259,false,
norway|OSL_S_KT43,Weekday,22,39,1,0.1574,0.2907,true,-0.0708,0.021,false,
norway|OSL_S_KT43,Weekday,23,29,1,0.2113,0.1512,true,0.2004,0.0305,false,
norway|OSL_S_KT43,Weekday,24,27,1,0.1272,0.7761,true,0.091,0.232,false,
norway|TRO_R_Bl2-3,Weekday,16,35,1,0.1084,0.8069,true,0.2514,0.0826,false,
norway|TRO_R_Bl2-3,Weekday,17,42,1,0.1634,0.2139,true,0.1467,0.2326,false,
norway|ASK_Plass23,Weekday,16,18,1,0.3037,0.0728,true,0.4282,0.323,true,
