L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.023060 nats  (excellent)
  Plug-in duration   : 0.005763 nats  (excellent)
  Idle gap           : 0.010861 nats  (excellent)
  Energy             : 0.049502 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0729
  01   0.0909   0.1035
  02   0.0721   0.0804
  03   0.0553   0.0588
  04   0.0338   0.0295
  05   0.0245   0.0176
  06   0.0132   0.0096
  07   0.0093   0.0056
  08   0.0080   0.0032
  09   0.0013   0.0021
  10   0.0015   0.0013
  11   0.0049   0.0037
  12   0.0067   0.0085
  13   0.0349   0.0325
  14   0.0757   0.0740
  15   0.1400   0.1849
  16   0.0883   0.0881
  17   0.0387   0.0389
  18   0.0390   0.0314
  19   0.0439   0.0357
  20   0.0333   0.0210
  21   0.0318   0.0242
  22   0.0331   0.0338
  23   0.0550   0.0389
