user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
gist|KR_U1225,Weekday,18,83,1,0.167,0.0203,false,-0.0201,-0.313,true,
gist|KR_U1225,Weekday,19,18,1,0.1588,0.7554,true,0.0698,-0.1685,false,
gist|KR_U1764,Weekday,19,26,1,0.1695,0.4455,true,0.3205,0.1197,true,
norway|OSL_S_KT137,Weekday,9,16,1,0.2409,0.312,true,0.3601,0.4088,true,
norway|OSL_S_KT137,Weekday,15,15,1,0.1758,0.7438,true,0.3106,0.325,true,
norway|OSL_S_KT137,Weekday,16,17,1,0.1902,0.5709,true,0.5439,0.3102,true,
norway|OSL_S_KT137,Weekday,17,46,1,0.1645,0.1679,true,0.2205,0.2814,false,
norway|OSL_S_KT137,Weekday,18,33,1,0.12,0.7312,true,0.2124,0.2358,false,
norway|OSL_S_KT137,Weekday,19,19,1,0.1349,0.8803,true,0.2408,0.1316,false,
norway|OSL_S_KT137,Weekday,21,15,1,0.1528,0.8754,true,-0.1957,-0.2536,false,
norway|OSL_S_KT162,Weekday,1,26,1,0.1219,0.8358,true,-0.3518,-0.5598,true,
norway|OSL_S_KT162,Weekday,17,20,1,0.1678,0.6277,true,0.2663,0.2414,false,
norway|OSL_S_KT162,Weekday,22,17,1,0.1685,0.7207,true,-0.1763,0.0221,false,
norway|OSL_S_KT162,Weekday,23,24,1,0.1714,0.4827,true,0.1351,0.0052,false,
norway|OSL_S_KT162,Weekday,24,27,1,0.1627,0.4737,true,-0.2702,-0.2055,false,
norway|BAR_Plass160,Weekday,16,207,1,0.3028,0.0,false,0.0193,0.2293,false,
norway|BAR_Plass160,Weekday,17,27,1,0.184,0.3217,true,0.1252,-0.1869,false,
norway|BAR_Plass160,Weekday,18,42,1,0.1864,0.1094,true,-0.1704,0.3907,true,
norway|BAR_Plass113,Weekend,18,15,1,0.1241,0.9751,true,-0.1377,0.1571,false,
norway|OSL_S_KT76,Weekday,16,18,1,0.2272,0.3115,true,-0.1373,0.0258,false,
norway|OSL_S_KT76,Weekday,17,26,1,0.155,0.5615,true,-0.1885,-0.0222,false,
norway|OSL_S_KT76,Weekday,18,25,1,0.185,0.3607,true,0.0218,-0.0173,false,
norway|OSL_S_KT76,Weekday,19,21,1,0.1617,0.6434,true,-0.1835,-0.0961,false,
norway|OSL_S_KT112,Weekday,1,17,1,0.2145,0.4155,true,0.3608,0.4632,true,
norway|OSL_S_KT112,Weekday,24,35,1,0.1459,0.4478,true,-0.3511,-0.2409,true,
norway|OSL_S_KT138,Weekend,5,27,1,0.2613,0.0506,true,-0.3115,-0.6149,true,
gist|KR_U1629,Weekday,9,18,1,0.1537,0.7894,true,-0.0031,0.2301,false,
gist|KR_U1629,Weekday,13,16,1,0.1254,0.9632,true,0.6103,0.6156,true,
kim|KR_70,Weekday,9,29,1,0.3657,0.0009,false,-0.0946,-0.4621,true,0.1773
kim|KR_70,Weekday,10,133,1,0.2004,0.0001,false,-0.1087,-0.331,true,
norway|ASK_Plass25,Weekend,20,17,1,0.1359,0.9126,true,-0.0249,-0.201,false,
norway|OSL_S_KT169,Weekday,15,209,1,0.0839,0.1119,true,-0.0949,0.015,false,
norway|OSL_S_KT169,Weekday,16,30,1,0.3446,0.0016,false,-0.128,0.1501,false,-0.0541
