L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.005400 nats  (excellent)
  Plug-in duration   : 0.012206 nats  (excellent)
  Idle gap           : 0.005472 nats  (excellent)
  Energy             : 0.002887 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0249   0.0198
  01   0.0204   0.0183
  02   0.0151   0.0136
  03   0.0151   0.0137
  04   0.0132   0.0132
  05   0.0083   0.0074
  06   0.0077   0.0070
  07   0.0114   0.0087
  08   0.0162   0.0132
  09   0.0160   0.0142
  10   0.0175   0.0138
  11   0.0232   0.0206
  12   0.0267   0.0218
  13   0.0367   0.0304
  14   0.0609   0.0609
  15   0.0940   0.1029
  16   0.1162   0.1332
  17   0.0999   0.1072
  18   0.0830   0.0848
  19   0.0749   0.0751
  20   0.0718   0.0752
  21   0.0568   0.0557
  22   0.0516   0.0516
  23   0.0385   0.0374
