L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.020914 nats  (excellent)
  Plug-in duration   : 0.037375 nats  (excellent)
  Idle gap           : 0.068725 nats  (acceptable)
  Energy             : 0.029152 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0035   0.0038
  01   0.0047   0.0030
  02   0.0029   0.0017
  03   0.0018   0.0017
  04   0.0006   0.0008
  05   0.0006   0.0017
  06   0.0012   0.0017
  07   0.0393   0.0361
  08   0.0762   0.0714
  09   0.1032   0.0846
  10   0.0152   0.0081
  11   0.0182   0.0144
  12   0.0223   0.0187
  13   0.0328   0.0340
  14   0.0393   0.0561
  15   0.0715   0.0778
  16   0.1905   0.2070
  17   0.1723   0.1475
  18   0.0739   0.0646
  19   0.0428   0.0663
  20   0.0381   0.0348
  21   0.0182   0.0200
  22   0.0123   0.0140
  23   0.0188   0.0302
