L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.012766 nats  (excellent)
  Plug-in duration   : 0.019336 nats  (excellent)
  Idle gap           : 0.003499 nats  (excellent)
  Energy             : 0.002467 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0207   0.0151
  01   0.0115   0.0091
  02   0.0079   0.0059
  03   0.0110   0.0107
  04   0.0118   0.0130
  05   0.0042   0.0049
  06   0.0046   0.0039
  07   0.0087   0.0050
  08   0.0125   0.0063
  09   0.0108   0.0077
  10   0.0176   0.0099
  11   0.0259   0.0200
  12   0.0302   0.0239
  13   0.0383   0.0318
  14   0.0626   0.0631
  15   0.0937   0.0964
  16   0.1214   0.1326
  17   0.0930   0.1062
  18   0.0828   0.0867
  19   0.0829   0.0914
  20   0.0838   0.0860
  21   0.0667   0.0733
  22   0.0614   0.0592
  23   0.0357   0.0378
