L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.007561 nats  (excellent)
  Plug-in duration   : 0.020233 nats  (excellent)
  Idle gap           : 0.011000 nats  (excellent)
  Energy             : 0.015914 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0183   0.0159
  01   0.0062   0.0055
  02   0.0033   0.0049
  03   0.0026   0.0049
  04   0.0049   0.0035
  05   0.0229   0.0216
  06   0.0281   0.0317
  07   0.0183   0.0190
  08   0.0203   0.0202
  09   0.0252   0.0193
  10   0.0379   0.0335
  11   0.0291   0.0234
  12   0.0288   0.0288
  13   0.0291   0.0242
  14   0.0412   0.0410
  15   0.0507   0.0536
  16   0.0709   0.0808
  17   0.1883   0.1947
  18   0.1455   0.1624
  19   0.0716   0.0669
  20   0.0490   0.0450
  21   0.0360   0.0271
  22   0.0229   0.0260
  23   0.0490   0.0461
