L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.023168 nats  (excellent)
  Plug-in duration   : 0.034791 nats  (excellent)
  Idle gap           : 0.087055 nats  (acceptable)
  Energy             : 0.029039 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0035   0.0021
  01   0.0047   0.0021
  02   0.0029   0.0041
  03   0.0018   0.0025
  04   0.0006   0.0012
  05   0.0006   0.0033
  06   0.0012   0.0033
  07   0.0393   0.0342
  08   0.0762   0.0663
  09   0.1032   0.0865
  10   0.0152   0.0082
  11   0.0182   0.0082
  12   0.0223   0.0210
  13   0.0328   0.0317
  14   0.0393   0.0589
  15   0.0715   0.0869
  16   0.1905   0.1998
  17   0.1723   0.1586
  18   0.0739   0.0738
  19   0.0428   0.0416
  20   0.0381   0.0375
  21   0.0182   0.0235
  22   0.0123   0.0165
  23   0.0188   0.0280
