L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.036609 nats  (excellent)
  Plug-in duration   : 0.009031 nats  (excellent)
  Idle gap           : 0.005171 nats  (excellent)
  Energy             : 0.064181 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0601
  01   0.0909   0.1011
  02   0.0721   0.0780
  03   0.0553   0.0533
  04   0.0338   0.0236
  05   0.0245   0.0125
  06   0.0132   0.0084
  07   0.0093   0.0046
  08   0.0080   0.0043
  09   0.0013   0.0011
  10   0.0015   0.0016
  11   0.0049   0.0082
  12   0.0067   0.0052
  13   0.0349   0.0277
  14   0.0757   0.0775
  15   0.1400   0.2041
  16   0.0883   0.1125
  17   0.0387   0.0280
  18   0.0390   0.0329
  19   0.0439   0.0329
  20   0.0333   0.0315
  21   0.0318   0.0280
  22   0.0331   0.0253
  23   0.0550   0.0375
