L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.037700 nats  (excellent)
  Plug-in duration   : 0.009321 nats  (excellent)
  Idle gap           : 0.008121 nats  (excellent)
  Energy             : 0.061285 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0630
  01   0.0909   0.0983
  02   0.0721   0.0852
  03   0.0553   0.0576
  04   0.0338   0.0237
  05   0.0245   0.0120
  06   0.0132   0.0087
  07   0.0093   0.0060
  08   0.0080   0.0016
  09   0.0013   0.0030
  10   0.0015   0.0014
  11   0.0049   0.0046
  12   0.0067   0.0076
  13   0.0349   0.0401
  14   0.0757   0.0723
  15   0.1400   0.1837
  16   0.0883   0.1092
  17   0.0387   0.0295
  18   0.0390   0.0254
  19   0.0439   0.0308
  20   0.0333   0.0379
  21   0.0318   0.0338
  22   0.0331   0.0295
  23   0.0550   0.0349
