L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.029504 nats  (excellent)
  Plug-in duration   : 0.013615 nats  (excellent)
  Idle gap           : 0.000665 nats  (excellent)
  Energy             : 0.050860 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0618
  01   0.0909   0.1018
  02   0.0721   0.0757
  03   0.0553   0.0507
  04   0.0338   0.0252
  05   0.0245   0.0144
  06   0.0132   0.0078
  07   0.0093   0.0061
  08   0.0080   0.0039
  09   0.0013   0.0031
  10   0.0015   0.0008
  11   0.0049   0.0050
  12   0.0067   0.0078
  13   0.0349   0.0361
  14   0.0757   0.0760
  15   0.1400   0.2005
  16   0.0883   0.1037
  17   0.0387   0.0347
  18   0.0390   0.0288
  19   0.0439   0.0336
  20   0.0333   0.0263
  21   0.0318   0.0288
  22   0.0331   0.0297
  23   0.0550   0.0377
