L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.007736 nats  (excellent)
  Plug-in duration   : 0.018283 nats  (excellent)
  Idle gap           : 0.010049 nats  (excellent)
  Energy             : 0.004086 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0159   0.0087
  01   0.0084   0.0071
  02   0.0044   0.0078
  03   0.0044   0.0067
  04   0.0080   0.0093
  05   0.0068   0.0093
  06   0.0090   0.0127
  07   0.0187   0.0217
  08   0.0238   0.0238
  09   0.0244   0.0210
  10   0.0216   0.0181
  11   0.0256   0.0260
  12   0.0288   0.0345
  13   0.0371   0.0420
  14   0.0527   0.0563
  15   0.0861   0.0837
  16   0.1240   0.1264
  17   0.1167   0.1042
  18   0.0963   0.0901
  19   0.0746   0.0753
  20   0.0759   0.0769
  21   0.0541   0.0529
  22   0.0430   0.0455
  23   0.0395   0.0400
