L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.017828 nats  (excellent)
  Plug-in duration   : 0.017854 nats  (excellent)
  Idle gap           : 0.073956 nats  (acceptable)
  Energy             : 0.021765 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0000   0.0000
  01   0.0000   0.0000
  02   0.0000   0.0000
  03   0.0000   0.0000
  04   0.0000   0.0000
  05   0.0000   0.0000
  06   0.0000   0.0000
  07   0.0000   0.0000
  08   0.0192   0.0210
  09   0.0456   0.0444
  10   0.0809   0.0824
  11   0.1579   0.1667
  12   0.1579   0.1746
  13   0.0923   0.0879
  14   0.0471   0.0225
  15   0.0460   0.0462
  16   0.1017   0.1196
  17   0.1390   0.1360
  18   0.0664   0.0691
  19   0.0279   0.0192
  20   0.0134   0.0067
  21   0.0039   0.0027
  22   0.0008   0.0006
  23   0.0000   0.0003
