L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.023509 nats  (excellent)
  Plug-in duration   : 0.039403 nats  (excellent)
  Idle gap           : 0.058318 nats  (acceptable)
  Energy             : 0.031239 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0035   0.0025
  01   0.0047   0.0066
  02   0.0029   0.0021
  03   0.0018   0.0029
  04   0.0006   0.0008
  05   0.0006   0.0033
  06   0.0012   0.0029
  07   0.0393   0.0317
  08   0.0762   0.0675
  09   0.1032   0.0865
  10   0.0152   0.0070
  11   0.0182   0.0132
  12   0.0223   0.0235
  13   0.0328   0.0329
  14   0.0393   0.0523
  15   0.0715   0.0840
  16   0.1905   0.2109
  17   0.1723   0.1417
  18   0.0739   0.0684
  19   0.0428   0.0540
  20   0.0381   0.0338
  21   0.0182   0.0251
  22   0.0123   0.0157
  23   0.0188   0.0309
