L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.037510 nats  (excellent)
  Plug-in duration   : 0.001786 nats  (excellent)
  Idle gap           : 0.014478 nats  (excellent)
  Energy             : 0.054903 nats  (acceptable)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0646   0.0579
  01   0.0909   0.1094
  02   0.0721   0.0813
  03   0.0553   0.0510
  04   0.0338   0.0237
  05   0.0245   0.0163
  06   0.0132   0.0083
  07   0.0093   0.0055
  08   0.0080   0.0044
  09   0.0013   0.0028
  10   0.0015   0.0011
  11   0.0049   0.0066
  12   0.0067   0.0033
  13   0.0349   0.0353
  14   0.0757   0.0832
  15   0.1400   0.1979
  16   0.0883   0.0995
  17   0.0387   0.0309
  18   0.0390   0.0306
  19   0.0439   0.0273
  20   0.0333   0.0358
  21   0.0318   0.0306
  22   0.0331   0.0267
  23   0.0550   0.0306
